Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
Explosion Proof Pressure Switch 1950-0-2F,DWYER INSTRUMENTS,,,,,"Model  1950-0-2F   UNITED STATES   Surplus New   Max Pressure: 45 in WC (11kPa) Surge Pressure: 10psi (68kPa)  Electrical Rating: 15A, 125, 250, 480 VAC, (1/8hp 125VAC, 1/4hp 250VAC)",https://www.lenmark.com//collections/switches/products/explosion-proof-pressure-switch-1950-0-2f-1
DSD Series Explosion Proof 3-Way Snap Switch w/ Cover DSD936 SA,CROUSE-HINDS,20 amps,120 volts,,,Model  DSD936 SA   MEXICO   Surplus New   20 amps   120 volts,https://www.lenmark.com//collections/switches/products/dsd-series-explosion-proof-3-way-snap-switch-w-cover-dsd936-sa
Pendant Push Button Control Station 9001SKRU-2,SQUARE D,15 amps,240 volts,,,Model  9001SKRU-2   MEXICO   Surplus New   15 amps   240 volts   Series: E Bezel Material: Plastic  Mounting Hole Size: 30 mm Number of Operators: 2  Operator Type: Extended Button Contact Form: 2NC  Action: Momentary Contact Operation: Standard,https://www.lenmark.com//collections/switches/products/pendant-push-button-control-station-9001skru-2
Manual Reset Lockout Relay Switch 7801D,ELECTROSWITCH,- amps,,,,"Model  7801D   UNITED STATES   Surplus New   - amps   Series: 24 LOR   Decks: 1  Coil: 125VDC / 120VAC (D-coil)   Handle: Oval  Depth behind panel: 3.63""",https://www.lenmark.com//collections/switches/products/manual-reset-lockout-relay-switch-7801d
Push Button Station Yellow Evacuation Cover PSEVSC-Y,FEDERAL PIONEER,,,,,Model  PSEVSC-Y   UNITED STATES   Surplus New,https://www.lenmark.com//collections/switches/products/push-button-station-yellow-evacuation-cover-psevsc-y
"Hydroelectric Piston Pressure Switch R900429045, HED 1 KA40/100/V",REXROTH,3 amps,,,,Model  R900429045   Used   3 amps   3A at 250 VAC  1A at 40 VDC  Pmax 600 bar,https://www.lenmark.com//collections/switches/products/hydroelectric-piston-pressure-switch-r900429045-hed-1-ka40-100-v
Selector Switch 800T-H3311A,ALLEN-BRADLEY,,,,,Model  800T-H3311A   Used   Size: 30mm Position: 2  Contact Block: 1 N.O. / 1 N.C.,https://www.lenmark.com//collections/switches/products/selector-switch-800t-h3311a
Optical-Isolator Module EM-DR1-IC-5-TB-28V/V P/N 924-60001-003,BEI SENSORS,,,,,Model  EM-DR1-IC-5-TB-28V/V   2010   KK22540   Used   Output Logic: 5-28V  Supply Voltage (VS): 5-28 VDC  P/N: 924-60001-003,https://www.lenmark.com//collections/switches/products/optical-isolator-module-em-dr1-ic-5-tb-28v-v-p-n-924-60001-003
Simatic Net Industrial Ethernet Switch Scalance X204-2 6GK5204-2BB00-2AA3,SIEMENS,,,,,Model  6GK5204-2BB00-2AA3   GERMANY   Used   4 X 10/100MBIT/S RJ45 PORTS  2 X 100 MBIT/S MULTIMODE BFOC,https://www.lenmark.com//collections/switches/products/simatic-net-industrial-ethernet-switch-scalance-x204-2-6gk5204-2bb00-2aa3
Disconnect Switch SVb,MOELLER,,120 volts,,,Model  SVb   Used   120 volts   3-phase,https://www.lenmark.com//collections/switches/products/disconnect-switch-svb
Explosion Proof Pressure Switch 1950-0-2F,DWYER INSTRUMENTS,,,,,"Model  1950-0-2F   UNITED STATES   Surplus New   Max Pressure: 45 in WC (11kPa) Surge Pressure: 10psi (68kPa)  Electrical Rating: 15A, 125, 250, 480 VAC, (1/8hp 125VAC, 1/4hp 250VAC)",https://www.lenmark.com//collections/switches/products/explosion-proof-pressure-switch-1950-0-2f
200 Amp Industrial Switch,CEB,200 amps,600 volts,,,Condition  Used   200 amps   600 volts   3-phase,https://www.lenmark.com//collections/switches/products/200-amp-industrial-switch
80 Amp General Purpose Switch Interrupteur OT80F3,ABB,80 amps,600 volts,,,Model  OT80F3   FINLAND   Used   80 amps   600 volts   3-phase,https://www.lenmark.com//collections/switches/products/80-amp-general-purpose-switch-interrupteur-ot80f3
Heavy Pilot Duty Push Button Switch N1D75-U1,APPLETON,,600 volts,,,Model  N1D75-U1   Used   600 volts,https://www.lenmark.com//collections/switches/products/heavy-pilot-duty-push-button-switch-n1d75-u1
80 Amp Safety Switch GHG 264 0020 L0002,COOPER,80 amps,600 volts,,,Model  GHG 264 0020 L0002   Used   80 amps   600 volts   3-phase,https://www.lenmark.com//collections/switches/products/80-amp-safety-switch-ghg-264-0020-l0002
20 Amp Switch SPH25443,KILLARK STAHL,20 amps,120 volts,,,Model  SPH25443   Used   20 amps   120 volts,https://www.lenmark.com//collections/switches/products/20-amp-switch-sph25443
24 Volts Timer MaxiRex D4 49665,LEGRAND,,,,,Model  49665   GERMANY   Surplus New   Frequency: 50/60 Hz Voltage: 24 Volts,https://www.lenmark.com//collections/switches/products/24-volts-timer-maxirex-d4-49665
General Purpose Switch OS100J03W,ABB,100 amps,600 volts,,,Model  OS100J03W   FINLAND   Surplus New   100 amps   600 volts   3-phase,https://www.lenmark.com//collections/switches/products/general-purpose-switch-os100j03w-1
General Purpose Switch OS100J03W,ABB,100 amps,600 volts,,,Model  OS100J03W   Surplus New   100 amps   600 volts   3-phase,https://www.lenmark.com//collections/switches/products/general-purpose-switch-os100j03w
Temperature Switch T2H-H154,BARKSDALE,10 amps,,,,Model  T2H-H154   Used   10 amps   Sensor Mount: Remote Mount Switch Type: Two SPDT  Product Type: Temperature Switch Temperature Range: -50F to 150F,https://www.lenmark.com//collections/switches/products/temperature-switch-t2h-h154
Electronic Control Module ECM-C-11-SP-SS-A,THERMON,30 amps,120 volts,,,Model  ECM-C-11-SP-SS-A   3131/23462   Used   30 amps   120 volts   Control Type: Controller (with low temp alarm) Comm. Network: RS485  Nominal Voltage Range: 120 VAC Switch Configuration: Single Pole  Alarm Output Current Rating: 2 A,https://www.lenmark.com//collections/switches/products/electronic-control-module-ecm-c-11-sp-ss-a
"Power Control 104A PL312, 12A 120V",GLAS-COL,12 amps,120 volts,,,Model  104A PL312   289158   Used   12 amps   120 volts   Output: On / Off Range: 5-1/2 - 100%  Volts: 120 Watts: 1440  Includes: 5-15R Receptacle,https://www.lenmark.com//collections/switches/products/power-control-104a-pl312-12a-120v
"Power Control PL120, 10A 120V",GLAS-COL,10 amps,120 volts,,,Model  PL120   385376   Used   10 amps   120 volts   Volts: 120 Amp: 10,https://www.lenmark.com//collections/switches/products/power-control-pl120-10a-120v
Explosion Proof Snap Switch No. 21CX4,MICRO MOTION INC,15 amps,480 volts,,,Model  21CX4   UNITED STATES   Used   15 amps   480 volts   Single-phase   Limit Switch Actuator: Side Rotary   Configuration: SPDT  Current AC Max: 15 amp   Voltage AC Max: 480 volts  Current DC Max: 500 mA   Current DC Max: 125 volts,https://www.lenmark.com//collections/switches/products/explosion-proof-snap-switch-no-21cx4
Pressure Switch HED 4 OA 16/100 Z15,REXROTH,,,,,"Model  HED 4 OA 16/100 Z15   Used   Max. Setting Pressure: 100 bar Connection: G1/4, Threaded  Electrical Connection: Plug in Connector Supply Voltage: 250 V AC,125 V DC  Fluid Temperature Range: -20 to 80°C",https://www.lenmark.com//collections/switches/products/pressure-switch-hed-4-oa-16-100-z15
"Pressure and Temperature Switch Type H117 Model 190, H117-190",UNITED ELECTRIC,11 amps,120 volts,,,Model  H117-190   Surplus New   11 amps   120 volts   Range: 6/30 psi Dead Band: 1-4 psi  Amp: 11 Voltage: 125/250 AC,https://www.lenmark.com//collections/switches/products/pressure-and-temperature-switch-type-h117-model-190-h117-190
"Pressure Switch PSE101-B, 0-1 Mpa",SMC,,,,,Model  PSE101-B   Surplus New  Pressure: 0-1 Mpa,https://www.lenmark.com//collections/switches/products/pressure-switch-pse101-b-0-1-mpa
Illuminated Pushbutton Switch ALFW29911D-G-24V,IDEC,10 amps,600 volts,,,Model  ALFW29911D-G-24V   Surplus New   10 amps   600 volts   Color: Green Mounting Hole Size: 22 mm  Operation: Momentary Primary Type: Pushbutton  Contact Configuration: 1NO-1NC,https://www.lenmark.com//collections/switches/products/illuminated-pushbutton-switch-alfw29911d-g-24v
80-1700 psi Pressure and Temperature Switch H117-194,UNITED ELECTRIC,11 amps,,,,Model  H117-194   UNITED STATES   Surplus New   11 amps   Adjustable Set Point Range: 80-1700 psi/ 5.5-117.2 bar Proof Pressure: 2500 psi/ 172.4 bar  Volts: 250 VAC Series: H117  Enclosure Type: 4X Material: Stainless Steel (316 SS),https://www.lenmark.com//collections/switches/products/80-1700-psi-pressure-and-temperature-switch-h117-194
Electric Foot Switch,Lenmark Industries,,,,,Model    Used,https://www.lenmark.com//collections/switches/products/electric-foot-switch-1
"Surface Mounted Thermostat, ATH-2, 844043",JUMO,10 amps,,,,"Model  ATH-2   GERMANY   Surplus New   10 amps   Process connection: 1/2"" male Length: 100mm  Range: 20-150°C Voltage: 250V",https://www.lenmark.com//collections/switches/products/surface-mounted-thermostat-ath-2-844043
ACCUTRAK Dual Display Monitor 2004AN,WESTLOCK CONTROLS,15 amps,120/240 volts,,,Model  2004AN   2009   Surplus New   15 amps   120/240 volts   Amp: 15 A Voltage: 125-250 V AC,https://www.lenmark.com//collections/switches/products/accutrak-dual-display-monitor-2004an
100 Amp Heavy Duty Safety Switch NHU363,WESTINGHOUSE,100 amps,600 volts,,,Model  NHU363   Used   100 amps   600 volts   3-phase   Horsepower: 75,https://www.lenmark.com//collections/switches/products/nhu363-heavy-duty-safety-switch-600-v-100-a
